family,depth_index_0,depth_index_1,depth_index_2,depth_index_3,object_codes
0,0,1,38,2,$00 $0E $0F $10 $11
1,8,9,2,2,$45 $46 $47 $48 $49
2,3,8,9,2,$02 $3B $3C $3D $3E $3F
3,4,5,38,2,$05 $06 $07
4,6,9,2,2,$01
5,7,8,9,2,$35 $36 $37 $38 $39 $3A
6,10,11,38,2,$08 $09 $0A
7,12,13,14,8,$1B $1C $1D $1E $1F $20 $21
8,15,16,17,8,$12 $13 $14 $15 $16 $17 $18 $19 $1A
9,18,19,25,26,$23 $24 $25 $26 $27 $28 $29
10,20,21,6,9,$03 $04 $40 $41 $42 $43 $44
11,22,23,24,26,$2A $2B $2C $2D $2E
12,25,26,8,6,$22
13,27,28,29,26,$34
14,30,31,32,11,$4A $4B
15,33,34,35,20,$32 $33
16,36,37,38,2,$0B $0C $0D
17,40,39,20,21,$2F $30 $31
