record_start,width_px,height_px,image_start,mask_start,record_end_exclusive
$6D8A,8,7,$6D8C,$6D93,$6D9A
$6D9A,8,6,$6D9C,$6DA2,$6DA8
$6DA8,8,3,$6DAA,$6DAD,$6DB0
$6DB0,8,4,$6DB2,$6DB6,$6DBA
$6DBA,8,7,$6DBC,$6DC3,$6DCA
$6DCA,8,6,$6DCC,$6DD2,$6DD8
$6DD8,8,3,$6DDA,$6DDD,$6DE0
$6DE0,8,5,$6DE2,$6DE7,$6DEC
$6DEC,8,4,$6DEE,$6DF2,$6DF6
$6DF6,8,3,$6DF8,$6DFB,$6DFE
$6DFE,8,6,$6E00,$6E06,$6E0C
$6E0C,8,5,$6E0E,$6E13,$6E18
$6E18,24,6,$6E1A,$6E2C,$6E3E
$6E3E,16,5,$6E40,$6E4A,$6E54
$6E54,16,4,$6E56,$6E5E,$6E66
$6E66,24,7,$6E68,$6E7D,$6E92
$6E92,16,7,$6E94,$6EA2,$6EB0
$6EB0,16,6,$6EB2,$6EBE,$6ECA
$6ECA,24,7,$6ECC,$6EE1,$6EF6
$6EF6,24,5,$6EF8,$6F07,$6F16
$6F16,16,3,$6F18,$6F1E,$6F24
$6F24,8,3,$6F26,$6F29,$6F2C
$6F2C,24,7,$6F2E,$6F43,$6F58
$6F58,24,5,$6F5A,$6F69,$6F78
$6F78,16,5,$6F7A,$6F84,$6F8E
$6F8E,16,5,$6F90,$6F9A,$6FA4
$6FA4,16,5,$6FA6,$6FB0,$6FBA
$6FBA,24,7,$6FBC,$6FD1,$6FE6
$6FE6,16,6,$6FE8,$6FF4,$7000
$7000,16,5,$7002,$700C,$7016
$7016,16,7,$7018,$7026,$7034
$7034,16,7,$7036,$7044,$7052
$7052,16,6,$7054,$7060,$706C
$706C,24,5,$706E,$707D,$708C
$708C,24,5,$708E,$709D,$70AC
$70AC,16,4,$70AE,$70B6,$70BE
$70BE,8,7,$70C0,$70C7,$70CE
$70CE,8,6,$70D0,$70D6,$70DC
$70DC,8,4,$70DE,$70E2,$70E6
$70E6,16,3,$70E8,$70EE,$70F4
$70F4,24,3,$70F6,$70FF,$7108
$7108,16,12,$710A,$7122,$713A
$713A,16,12,$713C,$7154,$716C
$716C,16,12,$716E,$7186,$719E
$719E,16,12,$71A0,$71B8,$71D0
$71D0,8,12,$71D2,$71DE,$71EA
$71EA,8,12,$71EC,$71F8,$7204
$7204,8,12,$7206,$7212,$721E
$721E,16,12,$7220,$7238,$7250
$7250,16,12,$7252,$726A,$7282
$7282,16,12,$7284,$729C,$72B4
$72B4,16,22,$72B6,$72E2,$730E
$730E,16,22,$7310,$733C,$7368
$7368,16,22,$736A,$7396,$73C2
$73C2,16,22,$73C4,$73F0,$741C
$741C,8,22,$741E,$7434,$744A
$744A,8,22,$744C,$7462,$7478
$7478,8,22,$747A,$7490,$74A6
$74A6,8,22,$74A8,$74BE,$74D4
$74D4,16,22,$74D6,$7502,$752E
$752E,16,22,$7530,$755C,$7588
$7588,16,22,$758A,$75B6,$75E2
$75E2,16,22,$75E4,$7610,$763C
$763C,8,14,$763E,$764C,$765A
$765A,8,14,$765C,$766A,$7678
$7678,8,11,$767A,$7685,$7690
$7690,8,14,$7692,$76A0,$76AE
$76AE,8,14,$76B0,$76BE,$76CC
$76CC,8,10,$76CE,$76D8,$76E2
$76E2,16,9,$76E4,$76F6,$7708
$7708,8,9,$770A,$7713,$771C
$771C,16,9,$771E,$7730,$7742
$7742,8,7,$7744,$774B,$7752
$7752,8,7,$7754,$775B,$7762
$7762,8,7,$7764,$776B,$7772
$7772,8,7,$7774,$777B,$7782
$7782,8,7,$7784,$778B,$7792
$7792,8,7,$7794,$779B,$77A2
$77A2,8,7,$77A4,$77AB,$77B2
$77B2,8,7,$77B4,$77BB,$77C2
$77C2,16,9,$77C4,$77D6,$77E8
$77E8,8,9,$77EA,$77F3,$77FC
$77FC,16,9,$77FE,$7810,$7822
$7822,8,8,$7824,$782C,$7834
$7834,8,8,$7836,$783E,$7846
$7846,8,8,$7848,$7850,$7858
$7858,16,10,$785A,$786E,$7882
$7882,8,10,$7884,$788E,$7898
$7898,16,10,$789A,$78AE,$78C2
$78C2,8,8,$78C4,$78CC,$78D4
$78D4,8,8,$78D6,$78DE,$78E6
$78E6,8,8,$78E8,$78F0,$78F8
$78F8,16,11,$78FA,$7910,$7926
$7926,8,11,$7928,$7933,$793E
$793E,16,11,$7940,$7956,$796C
$796C,8,7,$796E,$7975,$797C
$797C,8,7,$797E,$7985,$798C
$798C,8,7,$798E,$7995,$799C
$799C,8,7,$799E,$79A5,$79AC
$79AC,8,7,$79AE,$79B5,$79BC
$79BC,8,7,$79BE,$79C5,$79CC
$79CC,8,9,$79CE,$79D7,$79E0
$79E0,8,9,$79E2,$79EB,$79F4
$79F4,8,9,$79F6,$79FF,$7A08
$7A08,8,9,$7A0A,$7A13,$7A1C
$7A1C,8,9,$7A1E,$7A27,$7A30
$7A30,8,9,$7A32,$7A3B,$7A44
$7A44,8,8,$7A46,$7A4E,$7A56
$7A56,8,8,$7A58,$7A60,$7A68
$7A68,8,8,$7A6A,$7A72,$7A7A
$7A7A,8,7,$7A7C,$7A83,$7A8A
$7A8A,8,7,$7A8C,$7A93,$7A9A
$7A9A,8,7,$7A9C,$7AA3,$7AAA
$7AAA,8,7,$7AAC,$7AB3,$7ABA
$7ABA,8,9,$7ABC,$7AC5,$7ACE
$7ACE,8,9,$7AD0,$7AD9,$7AE2
$7AE2,8,9,$7AE4,$7AED,$7AF6
$7AF6,8,9,$7AF8,$7B01,$7B0A
$7B0A,8,9,$7B0C,$7B15,$7B1E
$7B1E,8,9,$7B20,$7B29,$7B32
$7B32,16,23,$7B34,$7B62,$7B90
$7B90,16,23,$7B92,$7BC0,$7BEE
$7BEE,16,23,$7BF0,$7C1E,$7C4C
$7C4C,8,23,$7C4E,$7C65,$7C7C
$7C7C,8,23,$7C7E,$7C95,$7CAC
$7CAC,8,23,$7CAE,$7CC5,$7CDC
$7CDC,16,23,$7CDE,$7D0C,$7D3A
$7D3A,16,23,$7D3C,$7D6A,$7D98
$7D98,16,23,$7D9A,$7DC8,$7DF6
$7DF6,8,7,$7DF8,$7DFF,$7E06
$7E06,8,7,$7E08,$7E0F,$7E16
$7E16,8,7,$7E18,$7E1F,$7E26
$7E26,8,5,$7E28,$7E2D,$7E32
$7E32,8,5,$7E34,$7E39,$7E3E
$7E3E,8,5,$7E40,$7E45,$7E4A
$7E4A,8,5,$7E4C,$7E51,$7E56
$7E56,8,5,$7E58,$7E5D,$7E62
$7E62,8,6,$7E64,$7E6A,$7E70
$7E70,8,6,$7E72,$7E78,$7E7E
$7E7E,8,6,$7E80,$7E86,$7E8C
$7E8C,8,6,$7E8E,$7E94,$7E9A
$7E9A,8,6,$7E9C,$7EA2,$7EA8
$7EA8,8,6,$7EAA,$7EB0,$7EB6
$7EB6,16,23,$7EB8,$7EE6,$7F14
$7F14,8,23,$7F16,$7F2D,$7F44
$7F44,16,23,$7F46,$7F74,$7FA2
$7FA2,16,23,$7FA4,$7FD2,$8000
$8000,8,23,$8002,$8019,$8030
$8030,16,23,$8032,$8060,$808E
$808E,24,21,$8090,$80CF,$810E
$810E,16,13,$8110,$812A,$8144
$8144,16,9,$8146,$8158,$816A
$816A,8,7,$816C,$8173,$817A
$817A,8,5,$817C,$8181,$8186
$8186,8,3,$8188,$818B,$818E
$818E,16,15,$8190,$81AE,$81CC
$81CC,16,9,$81CE,$81E0,$81F2
$81F2,8,7,$81F4,$81FB,$8202
$8202,16,15,$8204,$8222,$8240
$8240,16,9,$8242,$8254,$8266
$8266,8,6,$8268,$826E,$8274
$8274,8,1,$8276,$8277,$8278
