appearance_hex,mode,near_body,near_head_index,near_head_value,near_vector,middle_body,middle_head_index,middle_head_value,middle_vector,far_body,far_head_index,far_head_value,far_vector
$01,direct,5,0,4,1 2 4 2 2,5,0,2,1 2,5,0,1,1
$02,direct,4,1,5,1 4 5 1 1,4,1,4,1 4,4,1,1,1
$03,direct,6,2,9,2 2 9 2 2,6,2,1,2 1,6,2,2,2
$04,direct,6,3,14,2 2 14 2 2,6,3,1,2 1,6,3,2,2
$05,direct,3,4,2,1 1 2 1 1,3,4,2,1 2,3,4,1,1
$06,direct,4,5,6,1 4 6 1 1,4,5,2,1 2,4,5,1,1
$07,direct,4,6,10,1 4 10 1 1,4,6,3,1 3,4,6,1,1
$08,direct,4,7,13,1 4 13 1 1,4,7,3,1 3,4,7,1,1
$09,direct,3,8,3,1 1 3 1 1,3,8,3,1 3,3,8,1,1
$0A,direct,6,9,7,2 2 7 2 2,6,9,1,2 1,6,9,2,2
$0B,direct,3,10,12,1 1 12 1 1,3,10,2,1 2,3,10,1,1
$0C,direct,8,11,15,3 3 15 2 2,8,11,2,3 2,8,11,1,1
$0D,direct,3,12,1,1 1 1 1 1,3,12,1,1 1,3,12,1,1
$0E,direct,4,13,8,1 4 8 1 1,4,13,3,1 3,4,13,1,1
$0F,direct,4,14,11,1 4 11 1 1,4,14,3,1 3,4,14,1,1
$10,direct,4,15,16,1 4 16 1 1,4,15,2,1 2,4,15,1,1
$11,direct,4,16,17,1 4 17 1 1,4,16,5,1 5,4,16,1,1
$12,direct,0,17,18,4 1 18 1 1,0,17,5,1 5,0,17,1,1
$13,direct,3,18,18,1 1 18 1 1,3,18,5,1 5,3,18,1,1
$14,direct,2,19,5,4 2 5 2 2,2,19,4,1 4,2,19,1,1
$15,direct,1,20,17,4 4 17 1 1,1,20,5,1 5,1,20,1,1
$16,direct,9,21,19,5 5 19 3 3,9,21,6,4 6,9,21,3,3
$17,direct,9,22,20,5 5 20 3 3,9,22,7,4 7,9,22,4,4
$18,direct,9,23,21,5 5 21 3 3,9,23,8,4 8,9,23,5,5
$19,direct,9,24,22,5 5 22 3 3,9,24,9,4 9,9,24,6,6
$1A,encoded,0,0,4,4 1 4 1 1,0,0,2,1 2,0,1,1,1
$1B,encoded,1,0,4,4 4 4 1 1,1,0,2,1 2,1,1,1,1
$1C,encoded,2,0,4,4 2 4 2 2,2,0,2,1 2,2,1,1,1
