appearance_hex,record_count,structural_group,examples_tower_slot,drop_codes_hex,gate_state_0D_hex
$01,6,1,h:0 h:1 h:2 h:3 i:2 i:3,$12 $1B $1C $1E $2A,$01
$02,4,2,h:34 h:35 h:37 h:38,$07 $2A $30 $32,$02
$0C,17,3,d:5 d:6 f:26 f:27 f:28 h:6 h:7 h:8 h:10 m:14 m:15 m:16,$01 $0B $12 $14 $1E $25 $26 $2A $2B $32,$0C
$11,1,4,m:1,$29,$75
$12,19,5,f:25 h:9 h:11 l:34 l:35 l:36 l:37 m:25 m:26 m:27 m:28 m:29,$01 $03 $0B $0C $13 $14 $16 $1B $1C $1E $26 $2B $32,$12
$13,3,6,d:8 h:33 h:36,$0B $15 $32,$13
$14,6,7,d:11 e:38 f:36 g:37 i:33 k:35,$0E $0F $13,$78
$15,1,8,m:0,$3F,$7A
$1A,2,9,g:28 k:25,$04 $1B,$00
$1B,1,10,d:12,$1B,$65
$1C,3,11,e:35 f:16 g:9,$0B $2A $30,$00
$1D,3,12,d:7 d:24 f:20,$13 $14 $25,$00
$1E,2,13,f:5 i:14,$02 $14,$65
$20,4,14,e:26 f:11 h:14 l:12,$03 $14 $1C $1E,$00 $65
$21,2,15,f:17 m:5,$03 $04,$00 $65
$22,1,16,k:1,$03,$65
$23,4,17,d:18 g:24 i:15 m:9,$03 $13 $14 $15,$00 $65
$24,2,7,j:4 j:32,$0A $26,$00
$25,2,18,h:16 l:10,$13 $2B,$65
$26,3,2,e:18 j:5 m:2,$16 $26 $30,$00 $65
$27,3,19,j:13 l:14 l:15,$04 $1E $2A,$00 $65
$28,4,20,d:27 e:36 k:34 l:13,$0D $14 $1B,$00 $65
$2A,1,21,d:29,$2A,$65
$2B,6,22,e:37 f:31 g:19 h:31 i:16 j:3,$01 $04 $0D $13 $2B,$00 $65
$2D,3,23,e:17 h:23 i:24,$13 $2A $32,$65
$2E,2,24,d:2 e:10,$1C,$00
$2F,3,25,f:0 i:0 j:1,$12 $1E $30,$00 $65
$30,3,26,d:17 k:27 m:7,$0B $25,$00 $65
$31,8,27,d:39 e:21 f:6 f:35 g:12 h:18 h:25 l:25,$04 $0A $12 $14 $1C $25 $2A $34,$00 $65
$32,5,28,d:21 e:19 f:3 k:11 l:20,$0A $1C $1E $26 $2B,$00
$33,1,29,g:25,$03,$65
$34,2,30,i:30 m:11,$0C $14,$65
$36,1,31,d:14,$1C,$00
$37,2,32,f:18 l:30,$07 $15,$00
$38,4,33,f:1 g:17 h:5 l:6,$04 $25 $2A $30,$00 $65
$39,2,34,j:26 j:35,$03 $04,$65
$3A,1,35,l:24,$14,$00
$3B,5,36,g:31 h:27 j:10 k:12 k:20,$07 $1E $2A $2B,$00 $65
$3C,4,37,g:30 i:6 j:25 k:4,$03 $0D $14 $1B,$00 $65
$3D,4,38,f:12 g:32 j:29 k:8,$0A $1E $26 $30,$00 $65
$3E,2,39,d:19 i:22,$03 $2A,$00
$3F,1,40,f:34,$02,$65
$40,3,41,f:2 f:8 m:23,$04 $26 $32,$00 $65
$41,3,42,d:20 i:4 j:27,$0D $32,$65
$42,1,43,i:19,$1E,$00
$43,1,44,h:13,$12,$00
$44,4,45,d:23 f:15 h:19 l:5,$0A $14 $1B $32,$00 $65
$45,4,46,d:33 e:8 j:38 k:30,$01 $0A $13 $1E,$00 $65
$46,6,47,d:4 d:13 g:36 h:4 l:4 m:37,$0B $12 $1B $26 $2B,$00 $65
$47,2,48,e:32 i:27,$03 $14,$00 $65
$48,2,49,i:13 k:7,$26 $34,$00 $65
$49,3,50,j:21 k:29 l:9,$01 $2A $32,$00 $65
$4A,2,51,h:15 j:8,$16 $26,$00 $65
$4B,1,52,j:23,$13,$00
$4C,4,53,d:15 e:28 k:32 l:21,$0C $0D $25 $2B,$00
$4D,2,54,f:19 l:11,$14 $32,$00 $65
$4E,3,55,f:22 j:30 k:26,$03 $0B,$00 $65
$4F,3,56,e:4 l:3 m:8,$14 $16 $2A,$00 $65
$50,4,57,d:16 e:30 i:28 j:28,$16 $1C $1E $34,$00 $65
$51,1,58,i:9,$2A,$00
$53,4,59,f:21 i:10 k:16 m:12,$15 $32 $34,$00 $65
$54,6,60,d:0 e:22 h:28 j:0 j:20 m:24,$0A $13 $15 $1E $25 $2B,$00 $65
$56,1,61,m:22,$04,$65
$57,1,62,f:32,$01,$65
$58,3,63,e:3 e:9 e:31,$14 $2A,$00 $65
$59,2,64,d:34 l:19,$02 $04,$00
$5A,2,65,j:12 m:13,$03 $1C,$00 $65
$5B,2,66,g:4 g:29,$25 $32,$00
$5C,2,67,h:26 k:9,$0A $25,$65
$5D,5,68,f:29 g:23 h:12 j:16 l:0,$01 $03 $14 $1B $2A,$00 $65
$5E,4,69,e:34 g:5 k:13 l:27,$03 $14 $16 $2B,$00
$5F,2,70,e:12 e:13,$1E $30,$00
$60,2,71,f:24 i:32,$0C $14,$00 $65
$61,2,72,h:29 j:33,$01 $2A,$00
$62,3,73,d:31 e:20 i:12,$13 $15 $1B,$00
$63,1,74,f:30,$0C,$00
$64,1,75,i:11,$0C,$65
$65,5,76,d:32 e:2 e:23 j:9 j:36,$03 $04 $13 $26 $30,$00 $65
$66,6,77,d:30 d:36 h:24 i:1 k:17 l:1,$04 $14 $1B $1E $34,$00 $65
$67,1,78,k:3,$26,$00
$68,2,79,g:10 k:14,$03 $2B,$00 $65
$6A,1,80,k:23,$16,$00
$6C,1,81,i:18,$26,$00
$6E,1,82,k:33,$16,$65
$6F,2,83,g:0 g:2,$0B $2A,$00
$70,4,84,g:13 i:29 j:31 k:6,$04 $14 $32,$00 $65
$71,5,85,e:5 h:17 j:6 j:11 j:17,$02 $04 $07 $12 $13,$00 $65
$72,4,86,g:3 h:21 k:15 l:29,$02 $0C $12 $1B,$00 $65
$74,1,87,g:1,$1E,$00
$75,2,88,e:33 k:10,$2A $34,$00
$76,3,89,g:21 m:6 m:10,$04 $1B $32,$00 $65
$77,2,90,d:25 i:31,$03 $0A,$00
$78,6,91,g:27 k:0 k:2 k:5 k:21 k:28,$04 $07 $13 $15 $26,$00 $65
$79,2,92,e:7 h:20,$14 $30,$00 $65
$7A,6,93,d:38 e:14 g:20 g:26 i:5 l:32,$03 $13 $16 $30 $32,$00 $65
$7B,4,94,e:15 e:16 g:14 h:22,$1B $30,$00 $65
$7C,3,95,g:22 j:7 l:8,$25 $30,$00
$7D,1,96,j:34,$2B,$00
$7E,2,97,e:27 j:15,$25 $2A,$00
$7F,2,98,f:9 g:16,$01 $0B,$00
$81,4,99,d:1 d:37 e:29 l:28,$14 $1C $26 $2A,$00
$82,4,100,e:0 i:7 k:24 m:3,$13 $14 $26,$00 $65
$83,3,101,h:30 i:23 l:16,$15 $25 $2A,$00 $65
$84,2,102,g:15 i:8,$14 $2A,$00
$85,2,103,f:13 l:31,$14 $30,$00 $65
$86,2,104,d:3 l:23,$0B $13,$00
$87,3,105,d:28 e:11 g:18,$14 $25 $32,$00 $65
$88,1,106,g:7,$07,$00
$89,2,107,l:2 m:4,$0D $2A,$00
$8A,4,108,g:8 i:21 k:22 l:17,$12 $14 $16,$00 $65
$8B,3,109,e:6 g:33 l:18,$1E $2A,$00
$8C,4,110,e:24 g:34 j:14 l:7,$0B $13 $25 $32,$00
$8D,2,111,f:10 g:11,$13 $14,$00
$8F,4,112,d:35 e:25 f:14 l:22,$0A $25 $2A $32,$00 $65
$90,3,113,i:17 j:24 j:37,$04 $1C $26,$00
$91,1,114,d:10,$1B,$00
$92,3,115,f:4 f:7 i:25,$02 $13 $25,$00
$93,3,116,d:22 j:2 j:18,$04 $16 $30,$00 $65
$94,2,117,e:1 i:26,$0D $13,$00
$95,5,118,d:9 d:26 f:33 k:31 l:33,$03 $04 $0A $14,$00 $65
$96,2,119,g:6 g:35,$32 $34,$00 $65
$97,2,120,h:32 j:22,$03 $2B,$00 $65
$98,3,121,f:23 i:20 k:19,$04 $16 $1E,$00
$99,3,122,j:19 k:18 l:26,$03 $0B $30,$00 $65
