offset,field,confidence
$00,champion_id,PROVEN
$01,level,PROVEN
$02,strength,PROVEN
$03,agility,PROVEN
$04,intelligence,PROVEN
$05,charisma,PROVEN
$06,hp_current,PROVEN
$07,hp_max,PROVEN
$08,vitality_current,PROVEN
$09,vitality_max,PROVEN
$0A,food,STRONG
$0B,spell_points_current,PROVEN
$0C,spell_points_max,PROVEN
$0D,base_protection,PROVEN
$0E,unknown_runtime_0E,OPEN
$0F,unknown_runtime_0F,OPEN
$10,unknown_runtime_10,OPEN
$11,unknown_runtime_11,OPEN
$12,unknown_runtime_12,OPEN
$13,quantity_object_01,PROVEN
$14,quantity_object_02,PROVEN
$15,quantity_object_03,PROVEN
$16,quantity_object_04,PROVEN
$17,inventory_slot_0_hand,STRONG
$18,inventory_slot_1_hand,STRONG
$19,inventory_slot_2_body_armour,PROVEN
$1A,inventory_slot_3_shield,PROVEN
$1B,inventory_slot_4,STRONG
$1C,inventory_slot_5,STRONG
$1D,inventory_slot_6,STRONG
$1E,inventory_slot_7,STRONG
$1F,inventory_slot_8,STRONG
$20,inventory_slot_9,STRONG
$21,coinage_indicator_object_01,STRONG
$22,common_key_indicator_object_02,STRONG
$23,continuing_worn_spell,PROVEN
$24,prepared_spell_index_ff_none,PROVEN
$25,unknown_runtime_25,OPEN
$26,unknown_runtime_26,OPEN
$27,learned_spells_00_07,PROVEN
$28,learned_spells_08_15,PROVEN
$29,learned_spells_16_23,PROVEN
$2A,learned_spells_24_31,PROVEN
