graphic_index,record_start,mask_pointer,width_bytes,width_pixels,height
0,$6D8A,$6D93,1,8,7
1,$6D9A,$6DA2,1,8,6
2,$6DA8,$6DAD,1,8,3
3,$6DB0,$6DB6,1,8,4
4,$6DBA,$6DC3,1,8,7
5,$6DCA,$6DD2,1,8,6
6,$6DD8,$6DDD,1,8,3
7,$6DE0,$6DE7,1,8,5
8,$6DEC,$6DF2,1,8,4
9,$6DF6,$6DFB,1,8,3
10,$6DFE,$6E06,1,8,6
11,$6E0C,$6E13,1,8,5
12,$6E18,$6E2C,2,16,9
13,$6E3E,$6E4A,1,8,10
14,$6E54,$6E5E,1,8,8
15,$6E66,$6E7D,2,16,11
16,$6E92,$6EA2,2,16,7
17,$6EB0,$6EBE,1,8,7
18,$6ECA,$6EE1,2,16,11
19,$6EF6,$6F07,2,16,8
20,$6F16,$6F1E,1,8,6
21,$6F24,$6F29,1,8,3
22,$6F2C,$6F43,2,16,11
23,$6F58,$6F69,2,16,8
24,$6F78,$6F84,1,8,5
25,$6F8E,$6F9A,1,8,5
26,$6FA4,$6FB0,1,8,5
27,$6FBA,$6FD1,2,16,11
28,$6FE6,$6FF4,1,8,6
29,$7000,$700C,1,8,5
30,$7016,$7026,1,8,7
31,$7034,$7044,1,8,8
32,$7052,$7060,1,8,6
33,$706C,$707D,2,16,8
34,$708C,$709D,2,16,7
35,$70AC,$70B6,1,8,4
36,$70BE,$70C7,1,8,7
37,$70CE,$70D6,1,8,6
38,$70DC,$70E2,1,8,4
39,$70E6,$70EE,2,16,3
40,$70F4,$70FF,3,24,3
