record_start,width_bytes,width_pixels,height,image_start,mask_start,record_end_exclusive
$7108,2,16,12,$710A,$7122,$713A
$713A,2,16,12,$713C,$7154,$716C
$716C,2,16,12,$716E,$7186,$719E
$719E,2,16,12,$71A0,$71B8,$71D0
$71D0,1,8,12,$71D2,$71DE,$71EA
$71EA,1,8,12,$71EC,$71F8,$7204
$7204,1,8,12,$7206,$7212,$721E
$721E,2,16,12,$7220,$7238,$7250
$7250,2,16,12,$7252,$726A,$7282
$7282,2,16,12,$7284,$729C,$72B4
$72B4,2,16,22,$72B6,$72E2,$730E
$730E,2,16,22,$7310,$733C,$7368
$7368,2,16,22,$736A,$7396,$73C2
$73C2,2,16,22,$73C4,$73F0,$741C
$741C,1,8,22,$741E,$7434,$744A
$744A,1,8,22,$744C,$7462,$7478
$7478,1,8,22,$747A,$7490,$74A6
$74A6,1,8,22,$74A8,$74BE,$74D4
$74D4,2,16,22,$74D6,$7502,$752E
$752E,2,16,22,$7530,$755C,$7588
$7588,2,16,22,$758A,$75B6,$75E2
$75E2,2,16,22,$75E4,$7610,$763C
$763C,1,8,14,$763E,$764C,$765A
$765A,1,8,14,$765C,$766A,$7678
$7678,1,8,11,$767A,$7685,$7690
$7690,1,8,14,$7692,$76A0,$76AE
$76AE,1,8,14,$76B0,$76BE,$76CC
$76CC,1,8,10,$76CE,$76D8,$76E2
$76E2,2,16,9,$76E4,$76F6,$7708
$7708,1,8,9,$770A,$7713,$771C
$771C,2,16,9,$771E,$7730,$7742
$7742,1,8,7,$7744,$774B,$7752
$7752,1,8,7,$7754,$775B,$7762
$7762,1,8,7,$7764,$776B,$7772
$7772,1,8,7,$7774,$777B,$7782
$7782,1,8,7,$7784,$778B,$7792
$7792,1,8,7,$7794,$779B,$77A2
$77A2,1,8,7,$77A4,$77AB,$77B2
$77B2,1,8,7,$77B4,$77BB,$77C2
$77C2,2,16,9,$77C4,$77D6,$77E8
$77E8,1,8,9,$77EA,$77F3,$77FC
$77FC,2,16,9,$77FE,$7810,$7822
$7822,1,8,8,$7824,$782C,$7834
$7834,1,8,8,$7836,$783E,$7846
$7846,1,8,8,$7848,$7850,$7858
$7858,2,16,10,$785A,$786E,$7882
$7882,1,8,10,$7884,$788E,$7898
$7898,2,16,10,$789A,$78AE,$78C2
