set,lower_left,lower_right,upper_left,upper_right
0,$45,$45,$45,$45
1,$46,$46,$46,$46
2,$06,$06,$06,$06
3,$04,$04,$42,$42
4,$04,$04,$44,$44
5,$02,$02,$45,$02
6,$42,$42,$42,$42
7,$44,$44,$44,$44
8,$02,$02,$02,$02
9,$07,$07,$07,$07
10,$43,$43,$43,$43
11,$47,$47,$47,$47
12,$44,$04,$47,$44
13,$46,$06,$47,$46
14,$42,$02,$47,$42
15,$45,$05,$47,$45
16,$42,$02,$46,$42
17,$44,$05,$47,$44
18,$06,$06,$07,$07
19,$06,$06,$44,$44
20,$06,$06,$46,$46
21,$06,$06,$42,$42
22,$06,$06,$45,$45
23,$45,$45,$47,$47
24,$44,$44,$47,$47
