object_code,graphic_pointer,colour_set
$00,$650A,0
$01,$6526,1
$02,$6536,2
$03,$6544,3
$04,$6544,4
$05,$6562,5
$06,$657E,5
$07,$659A,5
$08,$65B6,6
$09,$65D2,6
$0A,$65EE,6
$0B,$660A,7
$0C,$660A,0
$0D,$660A,6
$0E,$6628,7
$0F,$6628,1
$10,$6628,6
$11,$6628,0
$12,$6646,8
$13,$6646,9
$14,$665E,9
$15,$6646,0
$16,$665E,0
$17,$6646,7
$18,$665E,7
$19,$6646,6
$1A,$665E,6
$1B,$6676,8
$1C,$6676,9
$1D,$6676,10
$1E,$6692,9
$1F,$6692,0
$20,$6692,6
$21,$6692,7
$22,$66B0,9
$23,$66C6,1
$24,$66DE,9
$25,$66DE,11
$26,$66DE,0
$27,$66DE,7
$28,$66DE,6
$29,$66FC,1
$2A,$671A,9
$2B,$671A,0
$2C,$671A,7
$2D,$671A,10
$2E,$671A,1
$2F,$6738,8
$30,$6738,9
$31,$6738,1
$32,$6756,6
$33,$6756,11
$34,$6774,8
$35,$6790,12
$36,$6790,13
$37,$6790,14
$38,$6790,15
$39,$67AE,16
$3A,$67AE,17
$3B,$67C6,7
$3C,$67C6,0
$3D,$67C6,6
$3E,$67C6,11
$3F,$67C6,10
$40,$67DE,7
$41,$67DE,1
$42,$67DE,6
$43,$67DE,0
$44,$67DE,11
$45,$67F6,18
$46,$680C,19
$47,$680C,20
$48,$680C,21
$49,$680C,22
$4A,$6828,23
$4B,$6828,24
