object_code,name,perspective_family
$00,Empty,0
$01,Coinage,4
$02,Common Keys,2
$03,Arrows,10
$04,Elf Arrows,10
$05,Drink (< half),3
$06,Drink (half),3
$07,Drink (full),3
$08,Food (partial),6
$09,Food (half),6
$0A,Food (full),6
$0B,N'Egg Green,16
$0C,N'Egg Blue,16
$0D,N'Egg Red,16
$0E,Serpent Slime,0
$0F,Brimstone Ale,0
$10,Dragon Broth,0
$11,Moon Elixir,0
$12,Leathers,8
$13,Chain Mail,8
$14,Plate Mail,8
$15,Mithril Chain,8
$16,Mithril Plate,8
$17,Adamant Chain,8
$18,Adamant Plate,8
$19,Crystal Chain,8
$1A,Crystal Plate,8
$1B,Hide Shield,7
$1C,Buckler,7
$1D,Rune Shield,7
$1E,Large Shield,7
$1F,Moon Shield,7
$20,Dragon Shield,7
$21,War Shield,7
$22,Dagger,12
$23,Stealth Blade,9
$24,Short Sword,9
$25,Long Sword,9
$26,Mithril Sword,9
$27,Fleshbane,9
$28,Demon Blade,9
$29,Ace of Swords,9
$2A,Battle Axe,11
$2B,Mithril Axe,11
$2C,Troll's Axe,11
$2D,Brainbiter,11
$2E,Deathbringer,11
$2F,Staff,17
$30,Battle Staff,17
$31,Power Staff,17
$32,Long Bow,15
$33,Frost Bow,15
$34,Crossbow,13
$35,Serpent Gem,5
$36,Chaos Gem,5
$37,Dragon Gem,5
$38,Moon Gem,5
$39,Tan Gem,5
$3A,Bluish Gem,5
$3B,Serpent Key,2
$3C,Moon Key,2
$3D,Dragon Key,2
$3E,Chaos Key,2
$3F,Chromatic Key,2
$40,Serpent Wand,10
$41,Chaos Wand,10
$42,Dragon Wand,10
$43,Moon Wand,10
$44,Heal Wand,10
$45,Yes Ring,1
$46,Serpent Ring,1
$47,Chaos Ring,1
$48,Dragon Ring,1
$49,Moon Ring,1
$4A,Player 1 remains,14
$4B,Player 2 remains,14
