index,raw4,rune0,rune1,rune2,rune3,rune_letters,magic_class,friendly_name,name_status
0,2918F9E0,1,0,1,0,baba,Serpent,ARMOUR,cross-version/manual corroborated; index is authority
1,925BA671,2,3,6,1,cdgb,Chaos/Shadow,TERROR,cross-version/manual corroborated; index is authority
2,390D0188,1,5,1,0,bfba,Dragon,VITALISE,cross-version/manual corroborated; index is authority
3,60462EB4,0,6,6,4,agge,Moon,BEGUILE,cross-version/manual corroborated; index is authority
4,864594A3,6,5,4,3,gfed,Chaos/Shadow,DEFLECT,cross-version/manual corroborated; index is authority
5,8A1AA215,2,2,2,5,cccf,Dragon,MAGELOCK,cross-version/manual corroborated; index is authority
6,CE195BB2,6,1,3,2,gbdc,Moon,CONCEAL,cross-version/manual corroborated; index is authority
7,18C59340,0,5,3,0,afda,Serpent,WARPOWER,cross-version/manual corroborated; index is authority
8,A2243143,2,4,1,3,cebd,Dragon,MISSILE,cross-version/manual corroborated; index is authority
9,25373485,5,7,4,5,fhef,Moon,VANISH,cross-version/manual corroborated; index is authority
10,11C0E918,1,0,1,0,baba,Serpent,PARALYZE,cross-version/manual corroborated; index is authority
11,71019CD2,1,1,4,2,bbec,Chaos/Shadow,ALCHEMY,cross-version/manual corroborated; index is authority
12,31CE6964,1,6,1,4,bgbe,Moon,CONFUSE,cross-version/manual corroborated; index is authority
13,B4308302,4,0,3,2,eadc,Serpent,LEVITATE,cross-version/manual corroborated; index is authority
14,C850C5D3,0,0,5,3,aafd,Chaos/Shadow,ANTIMAGE,cross-version/manual corroborated; index is authority
15,3988B45D,1,0,4,5,baef,Dragon,RECHARGE,cross-version/manual corroborated; index is authority
16,1142C809,1,2,0,1,bcab,Moon,TRUEVIEW,cross-version/manual corroborated; index is authority
17,9C919144,4,1,1,4,ebbe,Serpent,RENEW,cross-version/manual corroborated; index is authority
18,7021A57A,0,1,5,2,abfc,Chaos/Shadow,VIVIFY,cross-version/manual corroborated; index is authority
19,C1321180,1,2,1,0,bcba,Dragon,DISPELL,cross-version/manual corroborated; index is authority
20,42CEC44C,2,6,4,4,cgee,Dragon,FIREPATH,cross-version/manual corroborated; index is authority
21,F142CE01,1,2,6,1,bcgb,Moon,ILLUSION,cross-version/manual corroborated; index is authority
22,81806CCE,1,0,4,6,baeg,Serpent,COMPASS,cross-version/manual corroborated; index is authority
23,28E25302,0,2,3,2,acdc,Chaos/Shadow,SPELLTAP,cross-version/manual corroborated; index is authority
24,C8740C87,0,4,4,7,aeeh,Chaos/Shadow,DISRUPT,cross-version/manual corroborated; index is authority
25,0D04A592,5,4,5,2,fefc,Dragon,FIREBALL,cross-version/manual corroborated; index is authority
26,2691D045,6,1,0,5,gbaf,Moon,WYCHWIND,cross-version/manual corroborated; index is authority
27,8C91A348,4,1,3,0,ebda,Serpent,ARC BOLT,cross-version/manual corroborated; index is authority
28,55822620,5,2,6,0,fcga,Serpent,FORMWALL,cross-version/manual corroborated; index is authority
29,EC089820,4,0,0,0,eaaa,Chaos/Shadow,SUMMON,cross-version/manual corroborated; index is authority
30,9CD640A0,4,6,0,0,egaa,Dragon,BLAZE,cross-version/manual corroborated; index is authority
31,C3018C48,3,1,4,0,dbea,Moon,MINDROCK,cross-version/manual corroborated; index is authority
